case:concept:name,concept:name,time:start_timestamp,time:end_timestamp
0,A_Create Application,2016-01-01 09:51:15.000000,2016-01-01 09:51:15.000000
0,A_Concept,2016-01-01 09:51:15.000000,2016-01-01 09:51:15.000000
0,A_Accepted,2016-01-01 09:51:15.000000,2016-01-01 09:51:15.000000
0,O_Create Offer,2016-01-01 09:51:15.000000,2016-01-01 09:51:15.000000
0,O_Created,2016-01-01 09:51:15.000000,2016-01-01 09:51:15.000000
0,A_Complete,2016-01-01 09:51:15.000000,2016-01-01 09:51:15.000000
0,A_Validating,2016-01-01 09:51:15.000000,2016-01-01 09:51:15.000000
0,A_Incomplete,2016-01-01 09:51:15.000000,2016-01-01 09:51:15.000000
0,A_Cancelled,2016-01-01 09:51:15.000000,2016-01-01 09:51:15.000000
1,A_Create Application,2016-01-01 09:56:15.000000,2016-01-01 09:56:15.000000
1,A_Concept,2016-01-01 09:56:15.000000,2016-01-01 09:56:15.000000
1,A_Accepted,2016-01-01 09:56:15.000000,2016-01-01 09:56:15.000000
1,O_Create Offer,2016-01-01 09:56:15.000000,2016-01-01 09:56:15.000000
1,O_Created,2016-01-01 09:56:15.000000,2016-01-01 09:56:15.000000
1,O_Sent (mail and online),2016-01-01 09:56:15.000000,2016-01-01 09:56:15.000000
1,A_Cancelled,2016-01-01 09:56:15.000000,2016-01-01 09:56:15.000000
2,A_Create Application,2016-01-01 10:01:15.000000,2016-01-01 10:01:15.000000
2,W_Complete application,2016-01-01 10:01:15.000000,2016-01-01 10:10:06.040740
2,W_Complete application,2016-01-01 10:10:06.040740,2016-01-01 10:17:04.682902
2,W_Complete application,2016-01-01 10:17:04.682902,2016-01-01 10:23:56.895158
2,W_Complete application,2016-01-01 10:23:56.895158,2016-01-01 10:33:12.506640
2,A_Accepted,2016-01-01 10:33:12.506640,2016-01-01 10:33:12.506640
2,O_Create Offer,2016-01-01 10:33:12.506640,2016-01-01 10:33:12.506640
2,O_Created,2016-01-01 10:33:12.506640,2016-01-01 10:33:12.506640
2,O_Cancelled,2016-01-01 10:33:12.506640,2016-01-01 10:33:12.506640
3,A_Create Application,2016-01-01 10:06:15.000000,2016-01-01 10:06:15.000000
3,W_Complete application,2016-01-01 10:06:15.000000,2016-01-01 10:14:26.991879
3,W_Complete application,2016-01-01 10:14:26.991879,2016-01-01 10:22:38.107559
3,A_Accepted,2016-01-01 10:22:38.107559,2016-01-01 10:22:38.107559
3,O_Create Offer,2016-01-01 10:22:38.107559,2016-01-01 10:22:38.107559
3,O_Created,2016-01-01 10:22:38.107559,2016-01-01 10:22:38.107559
3,A_Complete,2016-01-01 10:22:38.107559,2016-01-01 10:22:38.107559
3,A_Validating,2016-01-01 10:22:38.107559,2016-01-01 10:22:38.107559
3,O_Returned,2016-01-01 10:22:38.107559,2016-01-01 10:22:38.107559
3,W_Call incomplete files,2016-01-01 10:22:38.107559,2016-01-01 10:26:10.730722
3,A_Cancelled,2016-01-01 10:26:10.730722,2016-01-01 10:26:10.730722
4,A_Create Application,2016-01-01 10:11:15.000000,2016-01-01 10:11:15.000000
4,A_Submitted,2016-01-01 10:11:15.000000,2016-01-01 10:11:15.000000
4,W_Handle leads,2016-01-01 10:11:15.000000,2016-01-01 10:11:24.628907
4,W_Complete application,2016-01-01 10:11:24.628907,2016-01-01 10:21:04.480664
4,A_Accepted,2016-01-01 10:21:04.480664,2016-01-01 10:21:04.480664
4,O_Create Offer,2016-01-01 10:21:04.480664,2016-01-01 10:21:04.480664
4,O_Created,2016-01-01 10:21:04.480664,2016-01-01 10:21:04.480664
4,W_Call after offers,2016-01-01 10:21:04.480664,2016-01-01 10:23:07.000289
4,O_Create Offer,2016-01-01 10:23:07.000289,2016-01-01 10:23:07.000289
4,O_Created,2016-01-01 10:23:07.000289,2016-01-01 10:23:07.000289
4,W_Call after offers,2016-01-01 10:23:07.000289,2016-01-01 10:23:51.536435
4,A_Cancelled,2016-01-01 10:23:51.536435,2016-01-01 10:23:51.536435
5,A_Create Application,2016-01-01 10:16:15.000000,2016-01-01 10:16:15.000000
5,A_Concept,2016-01-01 10:16:15.000000,2016-01-01 10:16:15.000000
5,A_Accepted,2016-01-01 10:16:15.000000,2016-01-01 10:16:15.000000
5,O_Create Offer,2016-01-01 10:16:15.000000,2016-01-01 10:16:15.000000
5,O_Created,2016-01-01 10:16:15.000000,2016-01-01 10:16:15.000000
5,O_Sent (mail and online),2016-01-01 10:16:15.000000,2016-01-01 10:16:15.000000
5,A_Cancelled,2016-01-01 10:16:15.000000,2016-01-01 10:16:15.000000
6,A_Create Application,2016-01-01 10:21:15.000000,2016-01-01 10:21:15.000000
6,A_Concept,2016-01-01 10:21:15.000000,2016-01-01 10:21:15.000000
6,A_Accepted,2016-01-01 10:21:15.000000,2016-01-01 10:21:15.000000
6,O_Create Offer,2016-01-01 10:21:15.000000,2016-01-01 10:21:15.000000
6,O_Created,2016-01-01 10:21:15.000000,2016-01-01 10:21:15.000000
6,A_Complete,2016-01-01 10:21:15.000000,2016-01-01 10:21:15.000000
6,A_Cancelled,2016-01-01 10:21:15.000000,2016-01-01 10:21:15.000000
7,A_Create Application,2016-01-01 10:26:15.000000,2016-01-01 10:26:15.000000
7,A_Submitted,2016-01-01 10:26:15.000000,2016-01-01 10:26:15.000000
7,W_Handle leads,2016-01-01 10:26:15.000000,2016-01-01 10:27:42.740340
7,W_Complete application,2016-01-01 10:27:42.740340,2016-01-01 10:36:10.819309
7,A_Accepted,2016-01-01 10:36:10.819309,2016-01-01 10:36:10.819309
7,O_Create Offer,2016-01-01 10:36:10.819309,2016-01-01 10:36:10.819309
7,O_Created,2016-01-01 10:36:10.819309,2016-01-01 10:36:10.819309
7,O_Cancelled,2016-01-01 10:36:10.819309,2016-01-01 10:36:10.819309
8,A_Create Application,2016-01-01 10:31:15.000000,2016-01-01 10:31:15.000000
8,W_Complete application,2016-01-01 10:31:15.000000,2016-01-01 10:37:17.652179
8,A_Accepted,2016-01-01 10:37:17.652179,2016-01-01 10:37:17.652179
8,O_Create Offer,2016-01-01 10:37:17.652179,2016-01-01 10:37:17.652179
8,O_Created,2016-01-01 10:37:17.652179,2016-01-01 10:37:17.652179
8,A_Complete,2016-01-01 10:37:17.652179,2016-01-01 10:37:17.652179
8,A_Validating,2016-01-01 10:37:17.652179,2016-01-01 10:37:17.652179
8,W_Call incomplete files,2016-01-01 10:37:17.652179,2016-01-01 10:43:30.745623
8,W_Call incomplete files,2016-01-01 10:43:30.745623,2016-01-01 10:57:10.564192
8,O_Cancelled,2016-01-01 10:57:10.564192,2016-01-01 10:57:10.564192
9,A_Create Application,2016-01-01 10:36:15.000000,2016-01-01 10:36:15.000000
9,A_Concept,2016-01-01 10:36:15.000000,2016-01-01 10:36:15.000000
9,A_Accepted,2016-01-01 10:36:15.000000,2016-01-01 10:36:15.000000
9,O_Create Offer,2016-01-01 10:36:15.000000,2016-01-01 10:36:15.000000
9,O_Created,2016-01-01 10:36:15.000000,2016-01-01 10:36:15.000000
9,A_Complete,2016-01-01 10:36:15.000000,2016-01-01 10:36:15.000000
9,A_Cancelled,2016-01-01 10:36:15.000000,2016-01-01 10:36:15.000000
